Date,Open,High,Low,Close
12/22/2014 6:16:00 PM,1.50554,1.50562,1.50551,1.50554
12/22/2014 6:18:00 PM,1.50554,1.50595,1.50549,1.50589
12/22/2014 6:20:00 PM,1.5059,1.5061,1.50588,1.50606
12/22/2014 6:22:00 PM,1.50606,1.50608,1.50578,1.50582
12/22/2014 6:24:00 PM,1.50583,1.50601,1.50582,1.50597
12/22/2014 6:26:00 PM,1.50592,1.50597,1.50545,1.50545
12/22/2014 6:28:00 PM,1.50544,1.5056,1.50536,1.50558
12/22/2014 6:30:00 PM,1.50558,1.50578,1.50556,1.50578
12/22/2014 6:32:00 PM,1.50577,1.50579,1.50523,1.50526
12/22/2014 6:34:00 PM,1.50525,1.50551,1.50496,1.5053
12/22/2014 6:36:00 PM,1.50532,1.50534,1.50502,1.50503
12/22/2014 6:38:00 PM,1.50504,1.50524,1.50501,1.50522
12/22/2014 6:40:00 PM,1.50521,1.50528,1.50516,1.50519
12/22/2014 6:42:00 PM,1.5052,1.50524,1.50504,1.50504
12/22/2014 6:44:00 PM,1.50505,1.50507,1.50468,1.50476
12/22/2014 6:46:00 PM,1.50478,1.5049,1.50476,1.5048
12/22/2014 6:48:00 PM,1.5048,1.50496,1.50474,1.50484
12/22/2014 6:50:00 PM,1.50486,1.50492,1.50473,1.50492
12/22/2014 6:52:00 PM,1.50492,1.50499,1.50482,1.50485
12/22/2014 6:54:00 PM,1.50487,1.50495,1.50485,1.50492
12/22/2014 6:56:00 PM,1.50493,1.505,1.50489,1.50492
12/22/2014 6:58:00 PM,1.50492,1.5054,1.50491,1.50538
12/22/2014 7:00:00 PM,1.50536,1.50544,1.50509,1.5054
12/22/2014 7:02:00 PM,1.50542,1.50568,1.50538,1.50548
12/22/2014 7:04:00 PM,1.5055,1.5056,1.50537,1.50538
12/22/2014 7:06:00 PM,1.50538,1.50544,1.50527,1.50532
12/22/2014 7:08:00 PM,1.50533,1.50572,1.50513,1.50532
12/22/2014 7:10:00 PM,1.50531,1.50542,1.50488,1.50507
12/22/2014 7:12:00 PM,1.50506,1.50528,1.5049,1.50498
12/22/2014 7:14:00 PM,1.50499,1.50502,1.50476,1.50479
12/22/2014 7:16:00 PM,1.5048,1.50492,1.50416,1.50444
12/22/2014 7:18:00 PM,1.50446,1.50493,1.50402,1.50493
12/22/2014 7:20:00 PM,1.50492,1.50562,1.50492,1.50554
12/22/2014 7:22:00 PM,1.50552,1.50582,1.50552,1.50559
12/22/2014 7:24:00 PM,1.5056,1.50563,1.50519,1.5053
12/22/2014 7:26:00 PM,1.5053,1.50548,1.50517,1.50536
12/22/2014 7:28:00 PM,1.50536,1.50546,1.5052,1.50529
12/22/2014 7:30:00 PM,1.5053,1.50535,1.50495,1.50508
12/22/2014 7:32:00 PM,1.5051,1.50518,1.50496,1.5051
12/22/2014 7:34:00 PM,1.5051,1.5051,1.50458,1.50468
12/22/2014 7:36:00 PM,1.50468,1.50474,1.5044,1.50472
12/22/2014 7:38:00 PM,1.50473,1.5049,1.50472,1.50488
12/22/2014 7:40:00 PM,1.50487,1.50488,1.5047,1.50475
12/22/2014 7:42:00 PM,1.50474,1.5049,1.50474,1.50486
12/22/2014 7:44:00 PM,1.50485,1.50488,1.50483,1.50484
12/22/2014 7:46:00 PM,1.50484,1.505,1.50469,1.50496
12/22/2014 7:48:00 PM,1.50494,1.5057,1.50487,1.50566
12/22/2014 7:50:00 PM,1.50567,1.50571,1.50503,1.50525
12/22/2014 7:52:00 PM,1.50524,1.5053,1.505,1.50524
12/22/2014 7:54:00 PM,1.50525,1.50526,1.50508,1.50522
12/22/2014 7:56:00 PM,1.5052,1.5053,1.50512,1.5053
12/22/2014 7:58:00 PM,1.50528,1.50593,1.50512,1.50589
12/22/2014 8:00:00 PM,1.50588,1.50589,1.50555,1.50564
12/22/2014 8:02:00 PM,1.50565,1.5057,1.50548,1.50556
12/22/2014 8:04:00 PM,1.50555,1.5057,1.50553,1.50566
12/22/2014 8:06:00 PM,1.50564,1.50566,1.50528,1.50545
12/22/2014 8:08:00 PM,1.50546,1.50551,1.50516,1.50521
12/22/2014 8:10:00 PM,1.50522,1.50528,1.50486,1.505
12/22/2014 8:12:00 PM,1.505,1.50508,1.50497,1.50502
12/22/2014 8:14:00 PM,1.50502,1.50538,1.50496,1.50519
12/22/2014 8:16:00 PM,1.5052,1.50556,1.50516,1.50556
12/22/2014 8:18:00 PM,1.50558,1.50616,1.50556,1.50588
12/22/2014 8:20:00 PM,1.50588,1.5059,1.5055,1.50572
12/22/2014 8:22:00 PM,1.50572,1.50574,1.50544,1.50544
12/22/2014 8:24:00 PM,1.50545,1.5058,1.5054,1.50574
12/22/2014 8:26:00 PM,1.50575,1.5058,1.50548,1.50578
12/22/2014 8:28:00 PM,1.50578,1.50628,1.50558,1.506
12/22/2014 8:30:00 PM,1.50602,1.50606,1.50548,1.50548
12/22/2014 8:32:00 PM,1.5055,1.50566,1.50519,1.50528
12/22/2014 8:34:00 PM,1.5053,1.50535,1.50466,1.50485
12/22/2014 8:36:00 PM,1.50486,1.50494,1.50468,1.50486
12/22/2014 8:38:00 PM,1.50488,1.50488,1.50432,1.5044
12/22/2014 8:40:00 PM,1.50439,1.5046,1.50432,1.50444
12/22/2014 8:42:00 PM,1.50444,1.50444,1.5042,1.5043
12/22/2014 8:44:00 PM,1.50429,1.50448,1.50416,1.50433
12/22/2014 8:46:00 PM,1.50432,1.50444,1.50411,1.50422
12/22/2014 8:48:00 PM,1.50422,1.50424,1.50416,1.50424
12/22/2014 8:50:00 PM,1.50424,1.50424,1.50392,1.50408
12/22/2014 8:52:00 PM,1.50408,1.50408,1.50382,1.50384
12/22/2014 8:54:00 PM,1.50385,1.50416,1.50384,1.50416
