Date,Open,High,Low,Close
12/22/2014 6:16:00 PM,1.16397,1.16401,1.16396,1.164
12/22/2014 6:18:00 PM,1.16399,1.16402,1.16394,1.16396
12/22/2014 6:20:00 PM,1.16395,1.16397,1.16393,1.16393
12/22/2014 6:22:00 PM,1.16392,1.16412,1.16392,1.16411
12/22/2014 6:24:00 PM,1.16412,1.16415,1.16411,1.16414
12/22/2014 6:26:00 PM,1.16415,1.16426,1.16412,1.16426
12/22/2014 6:28:00 PM,1.16424,1.1644,1.16424,1.16437
12/22/2014 6:30:00 PM,1.16437,1.1644,1.16428,1.16431
12/22/2014 6:32:00 PM,1.1643,1.16432,1.16427,1.16427
12/22/2014 6:34:00 PM,1.16426,1.16459,1.16425,1.16456
12/22/2014 6:36:00 PM,1.16455,1.16458,1.16437,1.16438
12/22/2014 6:38:00 PM,1.16437,1.16438,1.16437,1.16438
12/22/2014 6:40:00 PM,1.16437,1.1646,1.16437,1.16454
12/22/2014 6:42:00 PM,1.16455,1.16458,1.16449,1.16451
12/22/2014 6:44:00 PM,1.1645,1.16452,1.16442,1.16442
12/22/2014 6:46:00 PM,1.16442,1.16446,1.16442,1.16442
12/22/2014 6:48:00 PM,1.16442,1.16445,1.1644,1.16444
12/22/2014 6:50:00 PM,1.16443,1.16444,1.16426,1.16428
12/22/2014 6:52:00 PM,1.16427,1.16428,1.16426,1.16426
12/22/2014 6:54:00 PM,1.16426,1.16428,1.16424,1.16428
12/22/2014 6:56:00 PM,1.16427,1.1643,1.16424,1.16429
12/22/2014 6:58:00 PM,1.16428,1.16437,1.16428,1.16434
12/22/2014 7:00:00 PM,1.16433,1.16437,1.16428,1.16432
12/22/2014 7:02:00 PM,1.16432,1.16437,1.1643,1.16437
12/22/2014 7:04:00 PM,1.16437,1.16437,1.16432,1.16435
12/22/2014 7:06:00 PM,1.16434,1.16437,1.16432,1.16434
12/22/2014 7:08:00 PM,1.16433,1.16437,1.16428,1.16437
12/22/2014 7:10:00 PM,1.16437,1.16437,1.16406,1.16408
12/22/2014 7:12:00 PM,1.16407,1.16409,1.16404,1.16404
12/22/2014 7:14:00 PM,1.16404,1.16408,1.16402,1.16404
12/22/2014 7:16:00 PM,1.16405,1.16406,1.164,1.164
12/22/2014 7:18:00 PM,1.16399,1.164,1.16393,1.16393
12/22/2014 7:20:00 PM,1.16394,1.16394,1.16382,1.16384
12/22/2014 7:22:00 PM,1.16384,1.16384,1.16382,1.16384
12/22/2014 7:24:00 PM,1.16384,1.16398,1.16382,1.16398
12/22/2014 7:26:00 PM,1.16398,1.16399,1.16386,1.16398
12/22/2014 7:28:00 PM,1.16398,1.16398,1.16372,1.16373
12/22/2014 7:30:00 PM,1.16374,1.16383,1.1637,1.1637
12/22/2014 7:32:00 PM,1.16371,1.16374,1.16364,1.16369
12/22/2014 7:34:00 PM,1.1637,1.1637,1.16358,1.16358
12/22/2014 7:36:00 PM,1.16359,1.1636,1.16357,1.16359
12/22/2014 7:38:00 PM,1.16358,1.16359,1.16354,1.16354
12/22/2014 7:40:00 PM,1.16355,1.16356,1.16354,1.16354
12/22/2014 7:42:00 PM,1.16354,1.16362,1.16354,1.16356
12/22/2014 7:44:00 PM,1.16356,1.16357,1.16332,1.16342
12/22/2014 7:46:00 PM,1.16342,1.16342,1.16336,1.1634
12/22/2014 7:48:00 PM,1.16339,1.16346,1.16339,1.16342
12/22/2014 7:50:00 PM,1.16342,1.16348,1.16341,1.16342
12/22/2014 7:52:00 PM,1.16343,1.16343,1.16336,1.16336
12/22/2014 7:54:00 PM,1.16337,1.16337,1.16328,1.16329
12/22/2014 7:56:00 PM,1.16328,1.1633,1.16314,1.16318
12/22/2014 7:58:00 PM,1.16319,1.16326,1.16318,1.16323
12/22/2014 8:00:00 PM,1.16324,1.16326,1.16318,1.16325
12/22/2014 8:02:00 PM,1.16326,1.16326,1.16314,1.16316
12/22/2014 8:04:00 PM,1.16316,1.16318,1.1629,1.1629
12/22/2014 8:06:00 PM,1.16288,1.16297,1.16284,1.16288
12/22/2014 8:08:00 PM,1.16289,1.16295,1.16284,1.16295
12/22/2014 8:10:00 PM,1.16296,1.16297,1.16287,1.16287
12/22/2014 8:12:00 PM,1.16288,1.16288,1.16279,1.16279
12/22/2014 8:14:00 PM,1.1628,1.16285,1.16277,1.16285
12/22/2014 8:16:00 PM,1.16286,1.16286,1.1628,1.16284
12/22/2014 8:18:00 PM,1.16284,1.16289,1.1628,1.16284
12/22/2014 8:20:00 PM,1.16282,1.16284,1.16274,1.16276
12/22/2014 8:22:00 PM,1.16276,1.16277,1.16275,1.16276
12/22/2014 8:24:00 PM,1.16276,1.16277,1.1627,1.16271
12/22/2014 8:26:00 PM,1.16271,1.16274,1.16271,1.16271
12/22/2014 8:28:00 PM,1.16271,1.16272,1.16254,1.16254
12/22/2014 8:30:00 PM,1.16255,1.16256,1.16253,1.16256
12/22/2014 8:32:00 PM,1.16256,1.1626,1.16256,1.16259
12/22/2014 8:34:00 PM,1.16258,1.16259,1.16254,1.16254
